A,tau,alpha,offset,alpha_err,r2_kww,delta_alpha,backend,signal,n_points,r2_exp,analysis,mean_delta_frac,mean_ler
0.21592448873331824,0.0452043721512041,2.9635120721714276,0.3837798520023079,0.0,0.02167823553033843,1.6301787388380944,ibm_brisbane,T1_avg,126,0.02167841262868342,Signal1_14day,,
0.07322211183123507,26.603020581124465,2.999999747551412,0.42707192593161336,20.47754611829915,0.008414421546212969,1.666666414218079,ibm_brisbane,T2_avg,126,0.003939079594707406,Signal1_14day,,
0.16993452238360657,0.06760401455271725,2.9479187336174326,0.39124325504007984,0.0,0.012330136508520995,1.6145854002840994,ibm_brisbane,T1_probe,126,0.012330136998942365,Signal1_14day,,
0.08490162483168452,25.689755500979153,2.9999993681844885,0.3417998988765576,15.17977422219722,0.015408855164489199,1.6666660348511553,ibm_brisbane,T2_probe,126,0.009053896760580216,Signal1_14day,,
0.27523678231176263,3.76585806192924,2.9381841449396613,0.3985457857262897,1755365.2946508024,0.0347580698574369,1.604850811606328,ibm_kyoto,T1_avg,126,0.03452587402080476,Signal1_14day,,
0.014755003630726626,23.119908584531984,2.9999373114779764,0.4470921249114112,118.44601913139887,0.0002717383544901253,1.6666039781446431,ibm_kyoto,T2_avg,126,-5.995204332975845e-15,Signal1_14day,,
0.2812933245186335,0.3326855858613964,2.655932251649295,0.4278695571464297,0.0,0.042037772149217,1.3225989183159619,ibm_kyoto,T1_probe,126,0.04203777211245252,Signal1_14day,,
0.02878713603868031,24.682940350973098,2.999999958832995,0.343642126765558,47.37100156381321,0.0016416665941537678,1.6666666254996618,ibm_kyoto,T2_probe,126,5.883801859174476e-06,Signal1_14day,,
0.36076560291289045,0.13905140235683494,2.459479166054164,0.4476378821016046,0.0,0.04943028827691265,1.126145832720831,ibm_osaka,T1_avg,126,0.04943028487893153,Signal1_14day,,
0.14136253017446979,30.46174391301895,2.9999999999990035,0.3973567795936972,9.685340912179122,0.034057755902701436,1.6666666666656702,ibm_osaka,T2_avg,126,0.01932942637186863,Signal1_14day,,
0.3450145750400976,0.012626760626694128,2.879712092004149,0.4283226350485483,0.0,0.05067230973030723,1.5463787586708155,ibm_osaka,T1_probe,126,0.05067230959903468,Signal1_14day,,
0.1154459365846184,29.680184012785222,2.999999937885989,0.3531094446565261,13.211385923370347,0.019235470634898832,1.666666604552656,ibm_osaka,T2_probe,126,0.007919279995790118,Signal1_14day,,
0.055823791472142385,9.18756352646851,2.9999991194589817,0.32037527632433954,37.08020151246713,0.0018983133144145903,1.6666657861256484,ibm_brisbane,dT1,126,0.0011419192787117671,Signal2_probe_deploy,0.002411916788507828,
9.143205743825973e-13,2.769586620268637,1.7593653499098028,0.3070993296575473,0.0,-8.237854842718662e-14,0.4260320165764695,ibm_brisbane,dT2,126,-4.440892098500626e-15,Signal2_probe_deploy,-0.006362499452699861,
