A,tau,alpha,offset,alpha_err,r2,delta_alpha,backend,signal,r2_exp,n_lags,analysis,n_points,mean_fluct_us,median_fluct_us,day,trend_slope
0.9586699635111612,49.99999999905767,0.10000000000000002,0.49999999998346595,160.35854112470085,-3.850570637934055,1.2333333333333332,ibm_brisbane,ACF_T1,-3.615741261953076e-09,6.0,ACF_coherence,,,,,
3.2830015416715287e-09,49.99992044555757,2.9999998870227773,0.37235714888415483,0.0,-5.108868883496598e-11,1.666666553689444,ibm_brisbane,ACF_T2,-9.103828801926284e-15,10.0,ACF_coherence,,,,,
0.8363077884285184,49.99999999999531,0.10000000000000002,0.49999999999994627,230.46881128471279,-0.6627179692954877,1.2333333333333332,ibm_kyoto,ACF_T1,-6.402078867040473e-11,6.0,ACF_coherence,,,,,
5.308664164084778e-16,45.91245932332933,0.10000000001210345,0.43139432325082616,0.0,1.1102230246251565e-16,1.2333333333212297,ibm_kyoto,ACF_T2,-4.218847493575595e-15,10.0,ACF_coherence,,,,,
0.9208415716402412,49.99999999989723,0.10000000000000002,0.49999999999827954,194.37283093946516,-1.3683896018118338,1.2333333333333332,ibm_osaka,ACF_T1,-1.7363888105137448e-13,6.0,ACF_coherence,,,,,
6.295316992386341e-10,43.74074010458854,0.10000613179501855,0.3538873322253427,76493683.4819415,-2.5550006554908578e-11,1.2333272015383148,ibm_osaka,ACF_T2,-2.220446049250313e-16,10.0,ACF_coherence,,,,,
0.8994793373793789,0.5378162195068161,2.9999999999999996,0.06771379411118392,0.1701071894057969,0.9869408281912919,1.6666666666666663,ibm_brisbane,Fluct_T1,0.9198766096966742,,Fluctuation_dist,41.0,41.23568159259952,38.73998398081514,,
0.9553023106738332,0.3857613456037139,1.3226779679717788,-0.008390958284539507,0.06595144638254449,0.9938836079051373,0.010655365361554425,ibm_brisbane,Fluct_T2,0.9900223980298543,,Fluctuation_dist,41.0,12.26528184011244,9.990104176870702,,
0.9868290063861377,0.5932504573140478,1.9204236018392793,0.001545214753774169,0.1791973463010782,0.9874099935799225,0.587090268505946,ibm_kyoto,Fluct_T1,0.9801743771195788,,Fluctuation_dist,41.0,44.035004816319244,39.18209853768681,,
1.0402918853933736,0.60245874974863,1.4931284082440865,-0.09999999999999999,0.11299794184061109,0.99058174951111,0.1597950749107533,ibm_kyoto,Fluct_T2,0.99030480702031,,Fluctuation_dist,41.0,12.281643950925838,11.202939448570376,,
0.9892275360185251,0.5288728815063666,2.0512356364211146,-0.005598658840968791,0.17827739465328832,0.9878302890931214,0.7179023030877814,ibm_osaka,Fluct_T1,0.9794102696765774,,Fluctuation_dist,41.0,40.72065622649931,37.824549353340984,,
1.0280049878470714,0.6024130853432079,1.1266247430344978,-0.09999999999999999,0.1022135100582553,0.9908576917492091,0.20670859029883548,ibm_osaka,Fluct_T2,0.9937278131792607,,Fluctuation_dist,41.0,10.940196759117235,9.301757378225417,,
0.7792744378102903,4.101049616835355,0.4732128943499869,-0.10255548292267343,1.3790223368951242,0.6686433189661627,0.8601204389833463,ibm_brisbane,T1,0.6686433189661626,,Within_day,9.0,,,1.0,-5.192922133212553
1.0018813070567296,7.608925662625783,1.688645826366996,-0.09045651913890751,0.6927296545772379,0.8645817338901529,0.35531249303366264,ibm_brisbane,T1,0.8578365359054496,,Within_day,9.0,,,2.0,-5.915223162502409
0.6983681245386331,10.85560826232916,0.9303675127846867,-0.165484484545258,1.5093216936826686,0.35821744714385684,0.4029658205486466,ibm_brisbane,T2,0.35821744714385684,,Within_day,9.0,,,2.0,-2.346379418221812
0.814736140963663,7.003664363807659,1.4114083563134316,-0.0986798992825964,0.8628525671443397,0.8000668983053201,0.07807502298009839,ibm_brisbane,T1,0.8000668983053201,,Within_day,9.0,,,3.0,-7.726339184674759
