K_2,K_0,K_20
0.400344444,0.42055,0.386011111
0.41145,0.40693,0.387355556
0.403383333,0.396105,0.398405556
0.396077778,0.372045,0.386177778
0.413077778,0.427705,0.388416667
0.401133333,0.399065,0.393411111
0.408688889,0.38733,0.384666667
0.403955556,0.355785,0.387861111
0.402155556,0.414155,0.394433333
0.424605556,0.38737,0.388522222
0.410722222,0.361822222,0.386583333
0.405866667,0.41401,0.40075
0.418716667,0.373445,0.388138889
0.4103,0.44088,0.390572222
0.408788889,0.351935,0.398033333
0.410166667,0.369115,0.3853
0.398255556,0.377575,0.388005556
0.4175,0.40227,0.403383333
0.419361111,0.38885,0.39115
0.396055556,0.36978,0.392383333
0.398766667,0.404985,0.404738889
0.406183333,0.348745,0.392422222
0.401877778,0.396515,0.393788889
0.418572222,0.40362,0.399605556
0.422922222,0.403722222,0.389266667
0.416661111,0.391185,0.388666667
0.418755556,0.41621,0.403461111
0.404366667,0.39991,0.392311111
0.401927778,0.38574,0.389427778
0.405688889,0.412565,0.395716667
0.398483333,0.36539,0.385038889
0.421088889,0.41019,0.389394444
0.402516667,0.409915,0.40225
0.404011111,0.396555,0.394644444
0.418388889,0.383444444,0.395388889
0.400772222,0.37658,0.39895
0.406972222,0.38182,0.389944444
0.411561111,0.38389,0.391177778
0.39185,0.41981,0.400094444
0.393761111,0.410935,0.393538889
0.433738889,0.406245,0.387466667
0.400522222,0.42071,0.399133333
0.394627778,0.348685,0.390372222
0.398111111,0.41463,0.389244444
0.419788889,0.406735,0.403311111
0.413944444,0.407205,0.391344444
0.411594444,0.400825,0.393166667
0.410927778,0.376625,0.397472222
0.418705556,0.41717,0.38715
0.419,0.39381,0.384511111
0.408327778,0.39098,0.401688889
0.401233333,0.37238,0.390777778
0.40965,0.39624,0.387333333
0.397283333,0.372635,0.399155556
0.4154,0.41528,0.395
0.4176,0.39947,0.387138889
0.391144444,0.38777,0.386544444
0.393783333,0.393,0.404527778
0.404833333,0.3735,0.395127778
0.397905556,0.399185,0.395783333
0.410872222,0.383715,0.401411111
0.403916667,0.36308,0.390666667
0.424783333,0.413635,0.392277778
0.401127778,0.400865,0.400916667
0.391761111,0.398285,0.393705556
0.409244444,0.40427,0.392472222
0.403333333,0.445115,0.407461111
0.389455556,0.38835,0.397788889
0.398422222,0.355345,0.393405556
0.405216667,0.39523,0.404727778
0.403977778,0.43368,0.393916667
0.406422222,0.423895,0.393211111
0.411477778,0.39541,0.398238889
0.399105556,0.366915,0.389211111
0.396933333,0.35875,0.389038889
0.403388889,0.39232,0.407811111
0.397627778,0.35979,0.394216667
0.409033333,0.428175,0.396022222
0.405622222,0.43962,0.405766667
0.402683333,0.39294,0.3944
0.41655,0.428115,0.393794444
0.405188889,0.354225,0.401666667
0.418694444,0.38485,0.389577778
0.391844444,0.41271,0.390855556
0.409633333,0.364695,0.4015
0.398494444,0.43,0.388005556
0.394222222,0.395855,0.391611111
0.404805556,0.33928,0.403427778
0.402522222,0.39024,0.391605556
0.401566667,0.395655,0.391144444
0.399277778,0.42085,0.406466667
0.407016667,0.404595,0.39565
0.405711111,0.400275,0.3963
0.393572222,0.41865,0.404777778
0.391855556,0.426085,0.393455556
0.421677778,0.37769,0.394983333
0.406527778,0.396795,0.402072222
0.399783333,0.440935,0.39035
0.391211111,0.410735,0.39205
0.412322222,0.38674,0.403311111
0.3901,0.37682,0.39525
0.400511111,0.407345,0.394183333
0.409327778,0.42284,0.406633333
0.421577778,0.414766667,0.395666667
0.400916667,0.39209,0.396877778
0.393233333,0.381305556,0.407938889
0.429616667,0.463533333,0.394022222
0.390772222,0.425694444,0.395855556
0.393205556,0.37659,0.406361111
0.402105556,0.399083333,0.3936
0.404744444,0.391615,0.394061111
0.406311111,0.412675,0.402744444
0.396383333,0.38656,0.393694444
