data_60,sim_60,data_97,sim_97
1,1,1,1
-0.350402668,-0.309283376,-0.999315649,-0.995553553
0.146125198,0.131654307,0.994741744,0.991674185
-0.089008998,-0.065713987,-0.991870471,-0.983953714
0.051790928,0.021423453,0.986337644,0.979146242
-0.033232915,-0.006895962,-0.986900395,-0.972161412
0.060205762,0.018672675,0.983868942,0.969309092
-0.049353187,-0.019417658,-0.97461863,-0.960221291
0.047738556,0.024237564,0.976782707,0.956144869
-0.042725484,-0.019269468,-0.968821286,-0.945373654
0.060838623,0.031127585,0.968681002,0.940351903
-0.028188766,-0.010312353,-0.962857126,-0.93102771
0.041932774,0.010412117,0.961582939,0.929052651
-0.009440504,0.003834205,-0.951760916,-0.919888377
0.024322439,0.00533329,0.952639324,0.91799438
-0.022130489,-0.002691527,-0.949172201,-0.907518089
0.027481582,0.004594515,0.957802595,0.904543221
-0.009213391,-0.002370613,-0.939059503,-0.894528687
0.024363554,0.005567705,0.942105523,0.893451273
-0.016643007,-0.003052366,-0.932264353,-0.883204818
0.040779137,0.003344764,0.936607483,0.885230541
-0.023522334,-0.001565839,-0.929073424,-0.87689352
0.031742702,0.001950291,0.946800113,0.880634785
-0.007791467,0.000725428,-0.921826836,-0.873351872
0.050401952,0.003069003,0.935755503,0.876966178
0.003645585,-0.000751818,-0.930154754,-0.868951499
,,0.939971643,0.872486949
,,-0.934337415,-0.86395371
,,0.93101111,0.866385698
,,-0.920125624,-0.860126495
,,0.934002795,0.862503588
,,-0.926511084,-0.857288301
,,0.942612404,0.859985113
,,-0.934998494,-0.856079161
,,0.947701251,0.860186279
,,-0.941238004,-0.858895481
,,0.945012967,0.862235367
,,-0.944241226,-0.862688363
,,0.945937977,0.866437614
,,-0.940986428,-0.867954314
,,0.947013398,0.872759581
,,-0.945737512,-0.873523831
,,0.948419001,0.878204107
,,-0.932567207,-0.878036082
,,0.956073868,0.883752823
,,-0.934105099,-0.883831739
,,0.947103087,0.892451942
,,-0.947096054,-0.894109488
,,0.95749327,0.90290761
,,-0.954106964,-0.902756572
,,0.939198398,0.908715785
,,-0.953212358,-0.907755017
,,0.964731614,0.914275289
,,-0.955869848,-0.912965238
,,0.951195674,0.918957412
,,-0.947846357,-0.9162907
,,0.956187271,0.920060813
,,-0.958489392,-0.916013062
,,0.954567691,0.919273615
,,-0.952331137,-0.915388763
,,0.960240613,0.920109749
,,-0.947074547,-0.916649163
,,0.976377066,0.919517398
,,-0.935845889,-0.91652298
,,0.950087149,0.918911219
,,-0.942456889,-0.915848732
,,0.95747791,0.919471979
,,-0.948907622,-0.913978994
,,0.969231223,0.916822851
,,-0.943535872,-0.910982966
,,0.962113786,0.912130773
,,-0.948459347,-0.905785143
,,0.974814382,0.9069736
,,-0.936580957,-0.899200201
,,0.973109922,0.900998831
,,-0.94239258,-0.891982734
,,0.955233656,0.892240644
,,-0.946893274,-0.884402514
,,0.963623706,0.885201156
,,-0.951708495,-0.876067638
,,0.953313581,0.87784636
,,-0.958255902,-0.867883325
,,0.943187624,0.86945653
,,-0.933597414,-0.861078501
,,0.942397832,0.860423088
,,-0.921759227,-0.852310359
,,0.937926207,0.851998806
,,-0.909649562,-0.843532503
,,0.920954437,0.844604313
,,-0.915955255,-0.83731252
,,0.933798746,0.839621902
,,-0.903395791,-0.833895922
,,0.919626927,0.83723253
,,-0.918434276,-0.830948591
,,0.92179748,0.835095465
,,-0.905381383,-0.830077767
,,0.934613,0.834496319
,,-0.896796188,-0.830177724
,,0.922649092,0.834724188
,,-0.903644592,-0.830437601
,,0.94900116,0.836302757
