prethermal_autocorrelators,mbl_autocorrelators,energies_mbl,energies_prethermal
0.141505201,0.367788552,0.93825259,-0.9
0.122178111,0.378291109,-0.244343093,0.1
0.116029498,0.380039781,0.495799786,-0.1
0.120208067,0.356702505,-0.484818765,0.5
0.134064322,0.386836961,0.482027254,1.1
0.137326642,0.387491292,-0.395628878,-0.5
0.144089941,0.411417794,-0.475658081,0.3
0.120931772,0.36235104,1.597015539,-0.5
0.117806998,0.371272297,-0.139246285,0.5
0.121402105,0.391942758,0.116114775,0.3
0.161730801,0.392168396,0.219280796,0.1
0.152229486,0.405707685,-1.015592341,0.3
0.156770152,0.405442255,-0.11347997,0.5
0.116084972,0.388087416,-0.190745874,0.3
0.165576035,0.388122416,-0.214133515,-0.9
0.154775325,0.39702664,-0.336554719,1.1
0.124977657,0.382388155,-1.404050599,0.9
0.13029731,0.397842684,-0.447752146,0.1
0.132330595,0.377699275,0.515186974,-0.1
0.124065464,0.397018779,-1.160384729,0.3
0.134005872,0.369865364,1.391362286,-0.7
0.137474539,0.384832567,-0.074412307,-0.1
0.133048861,0.369321598,-0.366951106,0.5
0.122142542,0.383601139,-0.160496806,0.1
0.145755116,0.396458216,-0.117156165,0.7
0.120449595,0.412384727,0.750567053,0.5
0.145481298,0.409409045,0.449015091,0.5
0.156283113,0.399449671,-0.892748251,0.1
0.132998715,0.390573291,-0.749526774,0.3
0.16022356,0.400967642,-0.334078767,-0.9
0.111828272,0.375066816,0.269872021,0.1
0.143990159,0.366516277,1.078151749,-0.7
0.122096327,0.365373365,0.838718313,0.3
0.125713944,0.395370505,0.353329664,-0.1
0.129503168,0.406576774,-0.11938606,0.3
0.154436991,0.41440877,0.65093195,0.7
0.114853247,0.378772158,-0.513524715,0.1
0.139426289,0.411521993,-0.283883506,-0.3
0.137802529,0.375924477,-0.463896493,0.1
0.129430238,0.409632469,-0.935217869,-0.3
0.131933952,0.38594079,0.714323775,-0.5
0.144989018,0.385437247,1.255989162,0.5
0.130720317,0.38330266,-0.569874344,-0.5
0.127958153,0.38414854,0.412232788,-0.3
0.133994629,0.379420421,-0.952668576,0.3
0.134678641,0.370979145,-0.266261956,0.1
0.134171661,0.404156407,-0.643767191,0.3
0.128173381,0.404192902,-0.611397802,-0.1
0.12772737,0.373805147,-0.198742102,0.1
0.122247111,0.400289734,0.113469679,0.1
0.123373639,0.384503626,0.783665655,0.1
0.210906383,0.410446968,-0.425327014,1.9
0.153793293,0.399055367,0.160636632,-0.1
0.129871412,0.393311374,-0.288142922,0.1
0.16899067,0.398269944,0.589975689,-0.3
0.147137258,0.390473932,0.002798288,0.3
0.151531347,0.395782399,1.053278522,0.5
0.117799471,0.375751467,-0.102673098,-0.1
0.142490961,0.391564332,-0.048933269,-0.3
0.136348644,0.408025773,0.141563078,0.5
0.262240629,0.353428987,0.425327014,-1.9
0.116764444,0.371456251,0.068590116,0.1
0.142323975,0.396783642,-0.420953838,-0.1
0.129042842,0.404194365,-0.268924347,0.1
0.134022712,0.397130863,-1.069969709,-0.3
0.128457032,0.395398155,0.049253616,0.1
0.143397899,0.410285681,-0.545419266,0.1
0.137883676,0.418279476,-0.594106249,0.3
0.131853646,0.371434829,-0.15268258,-0.1
0.154307526,0.38869729,-0.250394502,-0.5
0.163730127,0.385579396,-0.830389021,0.5
0.129531199,0.38035113,1.425616012,0.1
0.122831209,0.386180848,-0.061280229,0.5
0.137446322,0.385361536,0.493441315,0.5
0.130518734,0.395700899,1.102454027,-0.1
0.105543846,0.369091355,1.133829817,0.1
0.125520112,0.380614593,-0.039787673,-0.3
0.130546668,0.392171335,0.224173421,0.9
0.119768536,0.367428378,-0.020349356,0.1
0.132330723,0.416554599,-0.626813518,0.5
