phi_const
-0.399849687
-0.400408686
-0.401986461
-0.411659262
-0.395077875
-0.407259095
-0.403963197
-0.396157355
-0.400560604
-0.399772344
-0.368524651
-0.396553028
-0.408357936
-0.39861105
-0.399650566
-0.400340395
-0.395612735
-0.401588295
-0.394335888
