prethermal_butterfly,,,,,,,,,
0.003646515,0.018223841,0.0322312,0.030367179,0.034291629,0.053022958,0.060991768,0.076092958,0.097963683,0.11424711
0.003381928,0.013170216,0.030094694,0.034327347,0.049599174,0.090980753,0.12101576,0.11621113,0.11151514,0.20094481
0.00377071,0.013028712,0.043161981,0.040964022,0.07524956,0.10714244,0.14432465,0.17503262,0.22563295,0.26725796
0.002731891,0.007304698,0.014516107,0.03242664,0.061069898,0.097301327,0.10634042,0.11754025,0.17258306,0.16847679
0.003766844,0.010412343,0.021055683,0.085395567,0.17285533,0.18457308,0.2265749,0.25606975,0.28776002,0.27434707
0.003454181,0.010303132,0.04299663,0.12203508,0.13997778,0.13742849,0.20141707,0.21342285,0.23698364,0.29894596
0.00357121,0.023141153,0.15048325,0.30471289,0.32108846,0.33693168,0.2929402,0.30986509,0.31037754,0.30961102
0.011529841,0.16593398,0.49687144,0.52089572,0.46911654,0.48287851,0.46884507,0.48060355,0.48810723,0.51932287
0.060627203,0.57065237,0.69049811,0.59939241,0.58417749,0.60363895,0.59697574,0.53840762,0.57788694,0.5868544
1,0.97158283,0.84023255,0.90093946,0.90519577,0.90541703,0.9241237,0.91416788,0.91170055,0.89273864
0.086554788,0.61739272,0.66892958,0.60728323,0.52201724,0.5368067,0.52739197,0.49434468,0.49881387,0.47129273
0.011335524,0.18907052,0.44747877,0.42821094,0.41351879,0.42554447,0.41431409,0.42287695,0.30953133,0.28322694
0.005627441,0.039930347,0.18133505,0.27989313,0.28498316,0.32343018,0.30380937,0.35730171,0.30455497,0.36906582
0.003410908,0.015033081,0.046396457,0.12107739,0.17601264,0.19624843,0.22594547,0.26397151,0.25285551,0.30142492
0.005534447,0.013912043,0.035145584,0.068755493,0.14373571,0.17295088,0.241924,0.28248966,0.31317383,0.33566052
0.003587111,0.014778838,0.038754702,0.054386787,0.085074946,0.12081756,0.1663688,0.17275035,0.24127918,0.20875336
0.005686879,0.026439579,0.034389682,0.059748195,0.089446232,0.11744775,0.19417883,0.2459694,0.28468773,0.29098514
0.009107417,0.030257916,0.062505506,0.055426773,0.084951401,0.10010383,0.12847663,0.1605736,0.20003755,0.21541978
0.005569102,0.042016067,0.070106409,0.064125821,0.063649125,0.10568448,0.13230778,0.13508946,0.18470941,0.23758762
0.006046599,0.043878209,0.045123827,0.046287652,0.043112062,0.062698908,0.060874157,0.077997707,0.11812919,0.10098139
