thermal_list_0,thermal_list_5,thermal_list_20
-0.020672917,0.0222875,0.008289583
-0.121741667,0.025895833,0.006772917
0.066745833,0.015997917,0.00696875
0.09849375,-0.014302083,0.004697917
0.138175,0.00011875,0.005164583
0.013045833,0.019079167,0.004795833
-0.04046875,-0.00158125,0.006577083
-0.034847917,0.015329167,0.005870833
-0.042735417,0.01164375,0.007102083
-0.074629167,0.018270833,0.004254167
-0.093227083,0.00295625,0.005008333
0.023804167,0.00021875,0.005697917
0.134420833,-0.002577083,0.005022917
-0.050760417,0.024170833,0.003752083
0.0748,0.001635417,0.007516667
0.035083333,0.029158333,0.005325
0.139064583,0.021308333,0.00611875
-0.027635417,0.026083333,0.005185417
-0.075922917,0.010941667,0.008304167
-0.019035417,0.00074375,0.005491667
-0.05013125,0.035747917,0.007058333
-0.133339583,-0.002979167,0.005775
-0.003177083,-0.005316667,0.00866875
0.07253125,0.010072917,0.00729375
0.05291875,0.015916667,0.005839583
0.0467625,0.013291667,0.005495833
0.049079167,0.038697917,0.006245833
0.10885,0.023345833,0.005427083
0.078266667,0.00405,0.006620833
-0.1037625,0.011533333,0.007291667
0.0264625,0.046377083,0.00745625
0.026764583,0.006233333,0.006372917
0.072345833,0.0166375,0.005852083
0.134677083,0.025202083,0.007589583
0.055995833,0.021291667,0.003252083
-0.15125625,-0.002058333,0.006029167
-0.01794375,0.006775,0.009197917
0.042672917,-0.009852083,0.008764583
-0.0552625,0.021004167,0.003927083
0.076325,0.007095833,0.004604167
-0.045327083,0.015335417,0.005820833
-0.011689583,0.02763125,0.0059
0.06435625,0.009847917,0.005997917
0.000595833,0.018458333,0.00681875
0.0471875,0.01855625,0.006633333
0.04848125,-0.0011375,0.006589583
0.186229167,0.01916875,0.006502083
-0.045725,-0.002839583,0.005572917
0.130720833,0.02528125,0.0058875
0.0569,0.021995833,0.007414583
-0.005902083,0.01016875,0.006302083
-0.103389583,0.005289583,0.004639583
-0.037758333,0.01960625,0.005483333
0.129610417,0.008195833,0.006091667
-0.039635417,0.02038125,0.007189583
-0.105710417,0.004860417,0.004758333
0.139989583,-0.009122917,0.00858125
0.015839583,0.01478125,0.003760417
0.06931875,0.003739583,0.00546875
0.089158333,0.018339583,0.007591667
-0.137947917,0.0130125,0.0062
0.112245833,0.02285625,0.004983333
0.122589583,0.005627083,0.006375
0.1914,0.020066667,0.005839583
0.075770833,0.01624375,0.004804167
0.067420833,0.011754167,0.006220833
-0.041597917,-0.005770833,0.00551875
-0.02194375,0.009797917,0.006922917
-0.04529375,0.002258333,0.004027083
0.088083333,0.019485417,0.004858333
-0.043297917,-0.009920833,0.004510417
-0.066420833,0.025579167,0.005672917
-0.07375625,0.022972917,0.005195833
-0.009875,0.031572917,0.00448125
0.092352083,-0.01543125,0.00453125
-0.0335875,0.018264583,0.007297917
0.0314125,0.034566667,0.006410417
-0.04055,0.0179875,0.00641875
-0.17225,0.004114583,0.007645833
-0.054197917,0.02011875,0.006570833
-0.014447917,-0.019639583,0.006195833
-0.037652083,0.012254167,0.005722917
0.130183333,0.011720833,0.006658333
0.018616667,0.02024375,0.005035417
0.0565375,0.035072917,0.007275
-0.011529167,0.010054167,0.006147917
0.051116667,0.019391667,0.0047875
-0.035610417,0.026339583,0.004970833
0.153779167,0.0184875,0.006541667
0.009310417,0.019339583,0.005129167
-0.044497917,0.018639583,0.005633333
-0.039966667,0.016704167,0.006497917
-0.029545833,0.0256625,0.00591875
-0.0598625,0.010283333,0.00586875
-0.124925,0.032727083,0.006010417
-0.052635417,0.026414583,0.006883333
-0.1547625,0.014085417,0.007470833
0.045004167,0.01939375,0.005958333
0.0708625,0.019714583,0.00414375
0.060035417,0.006241667,0.004972917
-0.014572917,0.00829375,0.005897917
-0.038583333,0.0199125,0.00661875
-0.077089583,0.011470833,0.006347917
0.0531,0.010347917,0.006239583
0.080920833,-0.006647917,0.006897917
0.090945833,0.016435417,0.004558333
-0.077491667,0.000522917,0.006033333
0.047977083,0.002397917,0.006777083
-0.004791667,-0.006141667,0.005220833
0.133929167,-0.013404167,0.006966667
0.111577083,0.00621875,0.004085417
0.0532375,0.004170833,0.005054167
0.006102083,0.0206375,0.004533333
0.04974375,0.012060417,0.007027083
0.0284125,0.016635417,0.004191667
0.0789,0.011535417,0.005545833
0.079854167,0.01841875,0.00551875
0.0733625,0.007239583,0.007379167
-0.15764375,0.007245833,0.00685625
-0.035602083,0.00945,0.005741667
-0.016485417,-0.0076625,0.005829167
-0.131775,0.012775,0.004864583
-0.005733333,-0.002545833,0.007852083
-0.02895625,0.016122917,0.005433333
-0.002254167,0.01726875,0.006170833
0.0737,0.022085417,0.006391667
0.03183125,-0.01405625,0.0077625
0.180122917,-0.014197917,0.005158333
0.15025625,0.00479375,0.004722917
-0.0116,0.025135417,0.0057875
-0.0315625,0.01706875,0.005741667
-0.002566667,0.014383333,0.00489375
0.0827875,0.011008333,0.007327083
-0.05879375,0.035895833,0.006291667
-0.073295833,0.028002083,0.00585
-0.0175875,0.018139583,0.004647917
-0.081716667,0.000391667,0.0048875
0.03549375,0.018833333,0.00590625
-0.001466667,0.020054167,0.005022917
0.135389583,0.025316667,0.00594375
-0.05274375,0.004866667,0.005295833
-0.041664583,0.019454167,0.007829167
-0.0046875,0.017814583,0.00539375
0.109941667,0.016554167,0.00613125
-0.139852083,0.013935417,0.006122917
0.062835417,0.01041875,0.006116667
0.022033333,0.000189583,0.006385417
0.017175,0.032666667,0.006683333
0.050860417,0.006408333,0.00551875
0.08339375,0.01665,0.006329167
0.125895833,0.005291667,0.00543125
0.14190625,0.00529375,0.007089583
0.004339583,0.027333333,0.005235417
0.079647917,0.019554167,0.0058375
0.033047917,-0.004177083,0.006022917
0.045972917,0.01999375,0.00636875
-0.051972917,0.032260417,0.007008333
0.094777083,0.013595833,0.007372917
0.048766667,-0.0001375,0.005514583
-0.006933333,0.025054167,0.006066667
0.079735417,0.01076875,0.004897917
0.029229167,0.02168125,0.00570625
0.08681875,0.006391667,0.0069
0.006279167,0.0305375,0.005672917
-0.017897917,0.015670833,0.004322917
-0.00813125,-0.003985417,0.004466667
-0.04340625,0.021604167,0.004989583
-0.018191667,0.009020833,0.005954167
-0.034108333,-0.007141667,0.0077625
0.10533125,0.013408333,0.007439583
-0.010270833,-0.012195833,0.006233333
0.008447917,0.019270833,0.006595833
-0.054722917,0.033335417,0.005825
-0.074975,0.010104167,0.00596875
0.073172917,0.008654167,0.00748125
0.092347917,0.019279167,0.005304167
-0.03455,0.015191667,0.006197917
0.157095833,0.01894375,0.005154167
-0.026454167,0.02155,0.006008333
0.105170833,0.006604167,0.006658333
-0.00323125,-0.001860417,0.0063625
0.01026875,0.014791667,0.007875
0.030575,0.044497917,0.005802083
-0.003825,0.03220625,0.004775
-0.018510417,0.019989583,0.006410417
0.173154167,-0.010591667,0.0053875
0.137366667,-0.012029167,0.00730625
0.046614583,0.009114583,0.006352083
-0.168285417,0.01213125,0.005520833
-0.018175,-0.007852083,0.006185417
0.002597917,0.037547917,0.006360417
0.000975,0.030758333,0.005441667
0.143177083,0.009108333,0.005975
0.02841875,0.024989583,0.007985417
-0.03835625,-0.000820833,0.006720833
-0.033320833,0.018285417,0.006997917
-0.047535417,0.020554167,0.006804167
-0.056210417,0.0270375,0.006570833
0.033910417,-0.005435417,0.006535417
-0.159341667,0.007597917,0.008420833
-0.061008333,0.013991667,0.00696875
-0.146,0.013166667,0.004875
-0.042841667,0.025947917,0.00583125
-0.088489583,-0.01181875,0.006975
-0.029433333,0.020597917,0.007245833
-0.10528125,0.0250875,0.006964583
-0.122383333,0.025322917,0.00615625
0.025558333,0.020747917,0.005616667
0.176602083,-0.009677083,0.005620833
0.061147917,0.017514583,0.006085417
-0.12804375,0.011279167,0.00425
0.09743125,0.019708333,0.00739375
0.083564583,0.018527083,0.005804167
-0.0076625,0.008385417,0.008714583
-0.032379167,0.013679167,0.005116667
-0.04618125,0.012379167,0.00676875
0.141622917,0.009520833,0.00711875
-0.055222917,0.0323125,0.006766667
0.131160417,0.023122917,0.0058375
0.08580625,0.018125,0.005210417
0.144458333,0.0213625,0.005816667
0.00370625,-0.010722917,0.00403125
-0.030285417,0.044733333,0.006379167
-0.06065,0.035104167,0.00565625
-0.02501875,0.01775625,0.006166667
-0.0679375,0.02805,0.006639583
0.053327083,0.026058333,0.00689375
-0.077145833,0.021479167,0.005854167
0.046395833,0.005591667,0.00491875
-0.013,-0.0128,0.005654167
0.112747917,0.01319375,0.004245833
0.034170833,0.02906875,0.00695625
0.06348125,0.021002083,0.006104167
0.0736125,0.029910417,0.008464583
0.101097917,0.0047875,0.006945833
0.156975,0.0088625,0.005227083
-0.111233333,0.014720833,0.005591667
-0.006972917,0.01241875,0.005520833
-0.046754167,0.0009625,0.006425
0.05458125,0.0165,0.004822917
0.128958333,0.006022917,0.0077625
0.128839583,0.021410417,0.006075
-0.033560417,0.03299375,0.006375
-0.098995833,0.0059,0.005279167
0.1344625,-0.011175,0.006352083
0.084397917,0.021514583,0.006527083
-0.044202083,0.0204,0.006927083
-0.048897917,0.015345833,0.00773125
0.153035417,0.005660417,0.005677083
-0.034514583,0.033727083,0.006995833
0.0549,0.02616875,0.006189583
-0.044866667,0.009172917,0.00486875
-0.0085375,0.020275,0.006047917
0.133983333,0.00255625,0.004735417
-0.09111875,0.001733333,0.003254167
-0.061860417,0.025647917,0.004204167
0.053175,0.022410417,0.00556875
-0.067464583,0.00611875,0.006189583
-0.03938125,0.013208333,0.005335417
0.045870833,0.022816667,0.005277083
0.1339,0.024520833,0.0074625
0.0707375,0.012679167,0.005960417
0.06309375,0.011829167,0.006433333
-0.041620833,0.024385417,0.007114583
0.12746875,0.021847917,0.006297917
0.126147917,-0.008541667,0.006810417
